method,dataset_name,budget_alias,dataset_root,dataset_version,labeled_scenes,seed,checkpoint,mIoU,mAcc,OA,split_fingerprint
SemiGMMPoint,ODPT-HG,10%,/path/to/odpt-hg-dataset,1.0,2,1,experiments/odpt_hg/10pct/checkpoints/official-rankgate-0ab9c71/final.pth,0.4558,0.6242,0.7684,REDACTED
SemiGMMPoint,ODPT-HG,20%,/path/to/odpt-hg-dataset,1.0,3,1,experiments/odpt_hg/20pct/checkpoints/official-rankgate-0ab9c71/final.pth,0.4644,0.6773,0.7569,REDACTED
